,City,Country,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Date
137,Neckargemünd,DE,49.39,8.79,52.0,97,12,5.06,1603018714
138,São Filipe,CV,14.9,-24.5,80.65,78,26,3.29,1603018714
139,Khovd,MN,48.01,91.64,42.17,56,87,2.06,1603018714
140,Ihosy,MG,-22.4,46.12,81.21,41,16,8.43,1603018714
141,Saldanha,ZA,-33.01,17.94,69.8,49,96,10.29,1603018714
142,Tevaitoa,PF,-16.78,-151.5,79.7,78,9,8.39,1603018714
143,La Ronge,CA,55.1,-105.28,23.0,85,90,10.29,1603018715
144,Santa Marta,CO,11.24,-74.2,80.01,81,88,1.01,1603018715
145,Mar del Plata,AR,-38.0,-57.56,66.0,93,10,6.93,1603018598
146,Mahajanga,MG,-15.72,46.32,95.0,26,0,8.05,1603018715
147,Nuuk,GL,64.18,-51.72,41.0,93,75,8.05,1603018715
148,Beloha,MG,-25.17,45.05,83.95,41,0,16.64,1603018715
149,Thompson,CA,55.74,-97.86,24.8,92,90,5.82,1603018715
150,Carnarvon,AU,-24.87,113.63,71.6,78,90,19.46,1603018716
151,Uusikaupunki,FI,60.8,21.41,41.0,65,75,8.05,1603018716
152,Chokurdakh,RU,70.63,147.92,21.67,98,97,7.14,1603018716
153,Along,IN,28.17,94.77,77.09,78,2,1.34,1603018716
154,Norman Wells,CA,65.28,-126.83,8.6,84,5,5.82,1603018716
155,Ontario,US,34.06,-117.65,69.8,68,1,1.28,1603018568
156,Tiksi,RU,71.69,128.87,19.71,96,100,15.79,1603018717
157,Kamenka,RU,51.32,42.77,62.01,77,100,18.21,1603018717
158,Padang,ID,-0.95,100.35,81.79,70,87,2.93,1603018717
159,Mezen',RU,65.85,44.24,35.33,94,98,8.43,1603018717
160,Salina Cruz,MX,16.17,-95.2,79.12,64,47,14.83,1603018717
161,El Batey,DO,19.77,-70.52,75.2,94,75,4.7,1603018717
162,Meulaboh,ID,4.14,96.13,80.83,78,97,5.46,1603018717
163,Kruisfontein,ZA,-34.0,24.73,70.0,54,100,11.01,1603018717
164,East London,ZA,-33.02,27.91,69.8,60,20,26.4,1603018603
165,Antsohihy,MG,-14.88,47.99,99.54,18,0,3.09,1603018718
166,Paamiut,GL,61.99,-49.67,41.32,79,90,15.01,1603018718
167,Bandarbeyla,SO,9.49,50.81,84.83,65,0,15.14,1603018718
168,Kourou,GF,5.16,-52.65,77.0,100,20,8.81,1603018718
169,Barrow,US,71.29,-156.79,19.4,79,1,16.11,1603018718
170,Leningradskiy,RU,69.38,178.42,21.31,89,0,8.93,1603018718
171,Lerwick,GB,60.15,-1.15,44.6,65,100,2.24,1603018707
172,Rājāpur,IN,25.38,81.15,92.93,34,0,5.3,1603018719
173,Kailua,US,21.4,-157.74,78.8,88,1,4.23,1603018501
174,Kaeo,NZ,-35.1,173.78,55.99,83,12,1.01,1603018719
175,Olafsvik,IS,64.89,-23.71,39.79,80,29,24.65,1603018628
176,Santa Isabel,BR,-23.32,-46.22,62.6,82,75,9.17,1603018719
177,Hong Kong,HK,22.29,114.16,79.0,76,25,1.99,1603018524
178,Zyryanka,RU,65.75,150.85,21.07,93,69,4.5,1603018720
179,Haapsalu,EE,58.94,23.54,48.0,75,20,8.05,1603018720
180,Coyhaique,CL,-45.58,-72.07,42.8,70,75,9.17,1603018720
181,Sioux Lookout,CA,50.1,-91.92,26.6,92,90,5.82,1603018725
182,Northam,GB,51.03,-4.22,59.0,80,75,3.0,1603018725
183,Mareeba,AU,-17.0,145.43,73.99,78,3,3.36,1603018725
184,Nicolás Bravo,MX,18.45,-88.92,70.45,99,41,2.35,1603018725
185,Meadow Lake,US,34.8,-106.54,54.0,20,1,4.7,1603018725
186,Xining,CN,36.62,101.77,44.31,53,0,4.59,1603018726
187,Codrington,AU,-38.27,141.97,48.04,90,16,7.31,1603018726
188,Berlevåg,NO,70.86,29.09,38.77,74,88,5.19,1603018726
189,Forestville,US,38.85,-76.88,46.4,93,1,2.17,1603018726
190,Kangaatsiaq,GL,68.31,-53.46,37.71,78,100,15.75,1603018726
191,Sabha,LY,27.04,14.43,94.12,11,29,12.93,1603018726
192,Kutum,SD,14.2,24.67,89.82,12,13,15.05,1603018726
193,Pimentel,PE,-6.84,-79.93,61.03,91,47,9.13,1603018727
194,Maţāy,EG,28.42,30.78,91.96,18,0,4.85,1603018727
195,Changji,CN,44.02,87.32,62.6,21,92,2.24,1603018727
196,Yarmouth,US,41.71,-70.23,42.01,86,1,7.36,1603018727
197,Faanui,PF,-16.48,-151.75,78.82,81,5,7.27,1603018727
198,Mount Gambier,AU,-37.83,140.77,51.8,87,90,4.7,1603018727
199,Morant Bay,JM,17.88,-76.41,80.6,83,20,6.93,1603018727
200,Kidal,ML,18.44,1.41,100.09,9,31,13.87,1603018728
201,Kolosovka,RU,56.47,73.61,36.12,77,62,16.62,1603018728
202,Dunedin,NZ,-45.87,170.5,48.99,86,100,1.99,1603018728
203,Torres,BR,-29.34,-49.73,65.82,77,66,7.52,1603018728
204,Cairns,AU,-16.92,145.77,73.99,78,24,3.36,1603018490
205,Luanda,AO,-8.84,13.23,82.4,69,75,3.36,1603018639
206,Córdoba,AR,-31.41,-64.18,75.99,88,20,9.17,1603018728
207,Nakusp,CA,50.25,-117.8,33.01,98,90,1.01,1603018729
208,Lata,PT,40.16,-8.33,73.0,50,83,4.65,1603018729
209,Neepawa,CA,50.23,-99.47,24.8,68,90,16.11,1603018729
210,Micheweni,TZ,-4.97,39.83,83.19,63,25,7.85,1603018729
211,Los Llanos de Aridane,ES,28.66,-17.92,77.0,69,40,18.34,1603018729
212,Gisborne,NZ,-38.65,178.0,55.0,77,10,4.0,1603018562
213,Nchelenge,ZM,-9.35,28.73,87.69,33,0,5.12,1603018729
214,Christchurch,NZ,-43.53,172.63,50.0,93,96,3.36,1603018699
215,Beni Mazar,EG,28.5,30.8,92.12,18,0,5.23,1603018730
216,Zhigansk,RU,66.77,123.37,14.11,96,100,6.15,1603018730
217,Santa Cruz de la Sierra,BO,-17.8,-63.17,73.4,78,40,9.17,1603018577
218,Bambous Virieux,MU,-20.34,57.76,81.0,54,20,12.75,1603018730
219,Minas,UY,-34.38,-55.24,68.0,93,20,9.17,1603018730
220,Taltal,CL,-25.4,-70.48,57.9,70,53,2.48,1603018730
221,Pangnirtung,CA,66.15,-65.71,34.02,80,100,4.41,1603018730
222,Cherskiy,RU,68.75,161.3,20.84,92,77,9.95,1603018731
223,Madimba,TZ,-10.4,40.33,91.4,46,40,5.82,1603018731
224,Kwang Binh,VN,17.48,106.6,77.29,88,100,7.9,1603018731
225,Bayan,CN,46.08,127.4,46.0,33,16,4.45,1603018731
226,Srednekolymsk,RU,67.45,153.68,24.33,98,95,7.63,1603018731
227,Leshukonskoye,RU,64.9,45.76,35.01,91,99,6.53,1603018736
228,Viedma,AR,-40.81,-63.0,61.0,41,6,3.0,1603018736
229,Gunjur,GM,13.2,-16.73,87.8,79,75,5.82,1603018736
230,Longyearbyen,SJ,78.22,15.64,26.6,73,20,8.05,1603018737
231,Upernavik,GL,72.79,-56.15,34.77,93,100,15.39,1603018737
232,Villa María,AR,-32.41,-63.24,77.0,73,0,7.0,1603018737
233,Atar,MR,20.52,-13.05,95.54,19,0,7.38,1603018737
234,Rondonópolis,BR,-16.47,-54.64,83.88,49,93,3.87,1603018737
235,Lawrenceburg,US,38.04,-84.9,50.0,61,90,5.82,1603018737
236,Goiatuba,BR,-18.01,-49.35,75.49,70,63,14.03,1603018737
237,Urengoy,RU,65.97,78.37,19.2,95,100,18.88,1603018738
238,Sitka,US,57.05,-135.33,41.0,60,90,3.36,1603018738
239,Raudeberg,NO,61.99,5.14,45.0,73,74,19.04,1603018738
240,Aginskoye,RU,51.1,114.53,38.55,78,69,8.48,1603018738
241,Gijón,ES,43.54,-5.66,66.99,63,79,5.82,1603018738
242,Iqaluit,CA,63.75,-68.51,32.0,98,90,8.05,1603018738
243,Sheltozero,RU,61.37,35.37,37.81,78,100,9.57,1603018738
244,College,US,64.86,-147.8,21.0,51,85,2.21,1603018739
245,Avilés,ES,43.55,-5.92,66.99,63,73,5.82,1603018739
246,Saint Paul Harbor,US,57.79,-152.41,37.4,81,75,3.36,1603018709
247,Bonavista,CA,48.65,-53.11,48.99,81,67,7.0,1603018739
248,Severo-Kuril'sk,RU,50.68,156.12,45.95,79,96,12.57,1603018739
249,Igarka,RU,67.47,86.58,24.17,97,100,16.04,1603018739
250,Ratnagiri,IN,16.98,73.3,82.15,76,21,7.49,1603018739
251,Aykhal,RU,66.0,111.5,6.8,92,0,4.47,1603018740
252,Kolyubakino,RU,55.67,36.53,46.4,87,75,22.37,1603018740
253,Anamur,TR,36.08,32.84,82.4,61,81,6.93,1603018740
254,Umba,RU,66.69,34.34,34.43,89,100,19.48,1603018740
255,Mirebalais,HT,18.83,-72.11,77.0,83,54,9.17,1603018740
256,Sola,VU,-13.88,167.55,80.04,76,0,18.72,1603018740
257,Khatanga,RU,71.97,102.5,8.17,87,8,8.68,1603018741
258,Tumsar,IN,21.38,79.73,85.75,74,11,3.13,1603018741
259,Faya,SA,18.39,42.45,77.0,11,20,4.7,1603018741
260,Satipo,PE,-11.25,-74.64,69.22,79,58,1.81,1603018742
261,Aniva,RU,46.71,142.53,39.2,93,20,6.71,1603018742
262,Soyo,AO,-6.13,12.37,82.4,78,75,6.93,1603018742
263,Acaraú,BR,-2.89,-40.12,83.01,58,51,17.2,1603018743
264,Tegul'det,RU,57.31,88.17,33.64,86,60,12.17,1603018743
265,Mmabatho,ZA,-25.85,25.63,93.2,16,0,11.41,1603018743
266,Salta,AR,-24.79,-65.41,57.2,82,0,3.36,1603018589
267,Sainte-Marie,RE,-20.9,55.55,78.8,65,90,17.22,1603018743
268,Guilin,CN,25.28,110.29,66.2,63,75,8.95,1603018743
269,San Jose,US,37.34,-121.89,66.0,45,1,6.93,1603018568
270,Margate,GB,51.38,1.39,55.0,80,90,3.0,1603018743
271,Altamira,BR,-3.2,-52.21,76.51,84,38,5.99,1603018508
272,Wamba,NG,8.93,8.6,87.22,58,10,4.59,1603018749
273,Moose Factory,CA,51.26,-80.61,33.8,100,90,10.29,1603018749
274,Port Hawkesbury,CA,45.62,-61.35,46.99,70,1,11.41,1603018750
275,Vila Franca do Campo,PT,37.72,-25.43,62.6,59,20,5.82,1603018750
276,Tura,IN,25.52,90.22,78.91,89,22,0.78,1603018750
277,Nantucket,US,41.28,-70.1,54.0,54,1,6.93,1603018750
278,Bolu Province,TR,40.67,31.58,71.02,45,79,6.29,1603018750
279,Izumo,JP,35.37,132.77,57.2,76,20,2.24,1603018751
280,Souillac,MU,-20.52,57.52,80.6,54,20,12.75,1603018751
281,Zhalantun,CN,48.0,122.72,39.45,63,16,5.26,1603018751
282,Milyutinskaya,RU,48.63,41.67,73.45,47,100,15.86,1603018751
283,Muros,ES,42.78,-9.06,64.99,72,75,5.82,1603018751
284,Beringovskiy,RU,63.05,179.32,35.83,81,100,5.5,1603018751
285,Dongsheng,CN,39.82,109.98,46.0,47,0,6.73,1603018751
286,Kahului,US,20.89,-156.47,78.8,69,1,5.82,1603018752
287,Hambantota,LK,6.12,81.12,93.2,52,20,16.11,1603018752
288,Geraldton,AU,-28.77,114.6,69.8,68,25,11.41,1603018752
289,Gamboula,CF,4.12,15.14,85.46,59,90,4.07,1603018752
290,Fairbanks,US,64.84,-147.72,21.0,48,84,2.13,1603018752
291,Vila,PT,42.03,-8.16,63.0,71,74,1.99,1603018752
292,Toora-Khem,RU,52.47,96.11,38.68,74,100,2.08,1603018752
293,Lompoc,US,34.64,-120.46,57.2,87,1,4.09,1603018502
294,Suleja,NG,9.18,7.18,84.2,66,75,8.05,1603018753
295,Lavrentiya,RU,65.58,-171.0,35.94,88,60,4.56,1603018753
296,Garh Maharaja,PK,30.83,71.91,97.56,9,0,7.07,1603018753
297,Lavras,BR,-21.25,-45.0,62.69,69,93,10.6,1603018753
298,Salalah,OM,17.02,54.09,93.2,26,2,12.75,1603018655
299,Baripāda,IN,21.93,86.72,86.77,71,100,3.51,1603018754
300,Necochea,AR,-38.55,-58.74,68.0,82,37,7.0,1603018754
301,Moengo,SR,5.62,-54.4,79.12,89,63,3.47,1603018754
302,Kabompo,ZM,-13.59,24.2,94.24,13,0,6.89,1603018754
303,Prykolotne,UA,50.16,37.35,58.03,54,0,15.97,1603018754
304,Zapolyarnyy,RU,69.42,30.81,26.6,100,20,5.82,1603018755
305,Tautira,PF,-17.73,-149.15,75.2,83,97,3.36,1603018755
306,Santa Marinella,IT,42.03,11.85,57.99,68,0,3.8,1603018755
307,Solnechnyy,RU,50.72,136.63,29.16,77,36,7.96,1603018755
308,Saint Anthony,US,45.02,-93.22,33.8,83,1,8.05,1603018755
309,Lafia,NG,8.48,8.52,86.9,63,67,4.74,1603018755
310,Namatanai,PG,-3.67,152.43,80.76,79,100,7.45,1603018756
311,Pevek,RU,69.7,170.31,24.91,94,29,17.45,1603018756
312,Bariloche,AR,-41.15,-71.31,41.0,75,40,21.92,1603018756
313,Tete,MZ,-16.16,33.59,91.4,29,0,8.05,1603018757
314,Millville,US,39.4,-75.04,48.0,93,1,4.88,1603018757
315,Ambon City,ID,-3.7,128.18,78.8,88,40,5.82,1603018757
316,Dongxing,CN,45.37,130.8,37.06,74,4,7.0,1603018757
317,Province of Mantua,IT,45.17,10.78,63.0,82,0,1.99,1603018757
318,Bilibino,RU,68.05,166.44,14.02,92,93,2.75,1603018763
319,Cambridge,CA,43.36,-80.31,51.01,57,75,11.41,1603018753
320,Rivers,CA,50.03,-100.24,24.8,68,90,16.11,1603018763
321,Russell,US,32.35,-85.2,53.6,81,40,6.13,1603018763
322,Tuatapere,NZ,-46.13,167.68,43.99,80,99,1.83,1603018763
323,Tubualá,PA,9.52,-79.03,77.0,94,40,6.93,1603018764
324,Lázaro Cárdenas,MX,17.96,-102.2,76.8,87,80,3.53,1603018764
325,Sangar,RU,63.92,127.47,15.94,96,99,9.22,1603018764
326,Miyako,JP,39.64,141.95,53.4,75,67,5.55,1603018764
327,Sturgis,US,41.8,-85.42,51.8,61,90,11.41,1603018764
328,Bud,US,39.45,-86.18,53.01,61,90,3.36,1603018764
329,Vao,NC,-22.67,167.48,71.28,78,17,16.71,1603018765
330,Aripuanã,BR,-9.17,-60.63,75.33,87,98,1.14,1603018765
331,São Gabriel da Cachoeira,BR,-0.13,-67.09,73.81,94,28,1.68,1603018765
332,Port Moresby,PG,-9.44,147.18,80.6,78,90,3.36,1603018765
333,Eureka,US,40.8,-124.16,48.2,100,1,3.36,1603018765
334,Safford,US,32.83,-109.71,59.0,22,1,4.7,1603018727
335,Varhaug,NO,58.61,5.65,45.0,70,95,7.0,1603018765
336,Yaan,NG,7.38,8.57,82.89,70,96,6.35,1603018766
337,Uyovu,TZ,-3.28,31.53,85.55,32,38,6.13,1603018766
338,Yumen,CN,40.28,97.2,48.54,39,0,9.48,1603018766
339,Port Augusta,AU,-32.5,137.77,57.2,71,0,18.34,1603018766
340,Elizabeth City,US,36.29,-76.25,62.01,87,1,6.93,1603018766
341,Capitán Bado,PY,-23.27,-55.53,70.41,67,72,14.47,1603018766
342,Yangi Marg`ilon,UZ,40.43,71.72,71.6,24,0,3.4,1603018767
343,Belaya Gora,RU,68.53,146.42,21.58,98,89,10.45,1603018767
344,Siocon,PH,7.71,122.14,79.09,86,100,6.26,1603018767
345,Nyurba,RU,63.28,118.33,16.41,93,0,2.24,1603018767
346,Buzdyak,RU,54.58,54.55,45.82,54,82,14.23,1603018767
347,Saint-Pierre,RE,-21.34,55.48,80.6,65,75,17.22,1603018767
348,Cap Malheureux,MU,-19.98,57.61,81.0,56,1,8.99,1603018768
349,Abu Dhabi,AE,24.47,54.37,95.0,32,0,11.41,1603018605
350,Aklavik,CA,68.22,-135.01,12.2,78,20,8.05,1603018768
351,Tikhvin,RU,59.65,33.53,36.0,79,100,4.54,1603018673
352,Găgeşti,RO,46.33,27.97,60.4,41,12,7.34,1603018768
353,Acapulco de Juárez,MX,16.86,-99.89,77.43,74,54,4.32,1603018768
354,Kumbo,CM,6.2,10.67,74.08,54,45,7.38,1603018768
355,Tazovsky,RU,67.47,78.7,19.27,96,99,17.07,1603018768
356,Linxia Chengguanzhen,CN,35.6,103.21,46.71,54,24,2.42,1603018769
357,Marsá Maţrūḩ,EG,31.35,27.25,86.0,42,0,5.82,1603018769
358,Lorengau,PG,-2.02,147.27,82.27,79,73,8.5,1603018769
359,Praia,CV,14.92,-23.51,84.2,74,75,9.17,1603018769
360,Bhadrāchalam,IN,17.67,80.88,85.93,83,96,1.07,1603018769
361,Cabra,ES,37.47,-4.44,77.0,26,24,1.01,1603018770
362,Zonguldak,TR,41.25,31.83,71.87,53,88,7.65,1603018770
363,Novaya Ladoga,RU,60.1,32.3,39.0,46,98,10.85,1603018775
364,Tsimmerbude,RU,54.67,20.13,48.99,87,75,11.18,1603018775
365,Huangnihe,CN,43.56,128.02,36.45,78,3,4.14,1603018775
366,Saint-Augustin,CA,51.23,-58.65,44.76,74,75,26.46,1603018775
367,Porto-Novo,BJ,6.5,2.6,82.4,78,40,6.93,1603018776
368,Magadan,RU,59.57,150.8,33.93,94,100,4.76,1603018776
369,Sabang,ID,5.89,95.32,84.0,73,100,21.09,1603018776
370,Krasnokamensk,RU,50.1,118.04,35.51,83,60,7.38,1603018776
371,Kuchera,IN,26.98,73.97,90.41,32,51,9.78,1603018777
372,San Luis de Palenque,CO,5.42,-71.73,72.91,90,73,1.9,1603018777
373,Bardsīr,IR,29.92,56.57,69.8,6,0,6.93,1603018777
